"3001";"1HD-3001";"лсгшйюкэмше";"http://5.128.182.86:81/udp/239.1.9.6:1234";"Novotel"
"3002";"2X2-3002";"пюгбкейюрекэмше";"http://5.128.182.86:81/udp/239.1.2.1:1234";"Novotel"
"3003";"365 дмеи-3003";"онгмюбюрекэмше";"http://5.128.182.86:81/udp/239.1.5.20:1234";"Novotel"
"3004";"8 йюмюк-3004";"хмт/пюгбкейюрекэмше";"http://5.128.182.86:81/udp/239.1.15.21:1234";"Novotel"
"3006";"A-MEDIA HIT HD-3006";"йхмн/яепхюкш";"http://5.128.182.86:81/udp/239.1.21.14:1234";"Novotel"
"3007";"A-MEDIA PREMIUM HD-3007";"йхмн/яепхюкш";"http://5.128.182.86:81/udp/239.1.14.1:1234";"Novotel"
"3008";"ANI-3008";"деряйхе";"http://5.128.182.86:81/udp/239.1.20.40:1234";"Novotel"
"3009";"ANIMAL PLANET-3009";"онгмюбюрекэмше";"http://5.128.182.86:81/udp/239.1.5.3:1234";"Novotel"
"3011";"ARIRANG-3011";"╘ ProxyBot";"http://5.128.182.86:81/udp/239.1.21.6:1234";"Novotel"
"3012";"ARM 1-3012";"╘ ProxyBot";"http://5.128.182.86:81/udp/239.1.21.9:1234";"Novotel"
"3013";"BABY TV-3013";"деряйхе";"http://5.128.182.86:81/udp/239.1.21.48:1234";"Novotel"
"3014";"BBC WORLD NEWS-3014";"хмтнплюжхнммше";"http://5.128.182.86:81/udp/239.1.20.36:1234";"Novotel"
"3015";"BLUE HUSTLER 18+-3015";"дкъ бгпнякшу";"http://5.128.182.86:81/udp/239.1.6.36:1234";"Novotel"
"3016";"BOOMERANG-3016";"деряйхе";"http://5.128.182.86:81/udp/239.1.21.59:1234";"Novotel"
"3018";"BRAZZERS TV 18+-3018";"дкъ бгпнякшу";"http://5.128.182.86:81/udp/239.1.6.40:1234";"Novotel"
"3019";"BRIDGE TV-3019";"лсгшйюкэмше";"http://5.128.182.86:81/udp/239.1.8.8:1234";"Novotel"
"3020";"BRIDGE TV CLASSIC-3020";"лсгшйюкэмше";"http://5.128.182.86:81/udp/239.1.20.106:1234";"Novotel"
